"","Apr","Aug","Dec","Feb","Jan","Jul","Jun","Mar","May","Nov","Oct","Sep","Mon","Tue","Wed","Thu","Fri","Sat","Sun","year","dayindex","temp","dewp","min","max","NUM_REPORTS"
"163",0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2001,163,77.1,64.3,68,84.9,5
"164",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2001,164,80.2,67.1,70,90,1
"165",0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2001,165,81.6,66.4,71.6,91.4,1
"166",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2001,166,84.2,71.1,75,95,1
"167",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2001,167,86.3,71.8,78.1,93.9,2
"168",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2001,168,85.8,72.1,77,95,1
"169",0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2001,169,75.7,62.4,72,90,1
"170",0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2001,170,73,56.8,64.4,78.8,1
"171",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2001,171,73.8,56.4,62.6,84.2,3
"172",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2001,172,69.1,49.4,59,77,1
"173",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2001,173,70,53.4,63,78.1,1
"174",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2001,174,70,63.7,66.2,73.4,3
"175",0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2001,175,69.5,56.8,60.1,79,1
"176",0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2001,176,68.4,60.8,64.4,73.4,6
"177",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2001,177,66.9,61.1,62.6,73.4,4
"178",0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2001,178,68.7,56.6,59,79,1
"179",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2001,179,75.9,66.8,71.1,88,4
"180",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2001,180,73.5,68.6,71.1,78.1,1
"181",0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2001,181,74.7,71.2,71.1,81,2
"182",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2001,182,75.2,67.3,69.8,82.4,2
